NOMBRE,CATEGORIA,COD_REG,NOM_REG,COD_PROV,NOM_PROV,COD_COM,NOM_COM,COD_DIS,NOM_DIS,ID,Norte,Este UTM Huso 19 Sur,point_latitude,point_longitude
La Cantera,Otros,03,Atacama,031,Copiap¾,03103,Tierra Amarilla,0310306,Bordos,2577,6931082.18400000000,383019.87841900000,-27.7395707,-70.18686939
La Fragua,Otros,03,Atacama,033,Huasco,03302,Alto Del Carmen,0330203,El Trßnsito,2578,6802022.04280000000,375065.59918400000,-28.90357494,-70.28145006
La Frontera,Otros,03,Atacama,032,Cha±aral,03202,Diego De Almagro,0320201,Diego de Almagro,2579,7088917.82148000000,385307.16605300000,-26.3150311,-70.14907339
Las Juntas,Otros,03,Atacama,033,Huasco,03302,Alto Del Carmen,0330201,Alto del Carmen,2580,6815921.59778000000,356213.60858500000,-28.77617872,-70.47299746
Los Toyos,Aldea,03,Atacama,033,Huasco,03304,Huasco,0330401,Huasco,2581,6857938.54802000000,285730.79380600000,-28.3873904,-71.18682689
Potrerillos,Otros,03,Atacama,032,Cha±aral,03202,Diego De Almagro,0320203,Potrerillos,2582,7076814.71396000000,450657.69194700000,-26.42806249,-69.49484358
Pozo Seco,Otros,03,Atacama,033,Huasco,03301,Vallenar,0330103,Libertad,2583,6850090.53339000000,333475.17260900000,-28.46515003,-70.70088189
Punta Negra,Otros,03,Atacama,031,Copiap¾,03103,Tierra Amarilla,0310304,San Antonio,2584,6903980.09559000000,403063.99083500000,-27.98579308,-69.98574163
Quebrada El Jilguero,Otros,03,Atacama,033,Huasco,03301,Vallenar,0330103,Libertad,2585,6842981.32236000000,332072.59231800000,-28.52911358,-70.71624026
Quebrada La Cruz,Otros,03,Atacama,033,Huasco,03302,Alto Del Carmen,0330204,Conay,2586,6804851.33899000000,400409.94619800000,-28.88026353,-70.021282
Quebrada ValparaÝso,Otros,03,Atacama,033,Huasco,03301,Vallenar,0330104,Hermanos Carrera,2587,6840147.52638000000,325693.01700500000,-28.55384132,-70.78184525
